iso_week,ili_pct
2023-W40,1.6
2023-W41,1.8
2023-W42,2.1
2023-W43,2.6
2023-W44,3.4
2023-W45,4.5
2023-W46,5.8
2023-W47,6.9
2023-W48,7.4
2023-W49,6.2
2023-W50,5.1
2023-W51,4.3
2023-W52,3.7
2024-W01,7.8
2024-W02,8.1
2024-W03,7.3
2024-W04,6.4
2024-W05,5.5
2024-W06,4.8
2024-W07,4.1
2024-W08,3.5
2024-W09,3.0
2024-W10,2.7
2024-W11,2.4
2024-W12,2.2
2024-W13,2.0
2024-W14,1.9
2024-W15,1.7
2024-W40,1.5
2024-W41,1.9
2024-W42,2.2
2024-W43,2.7
2024-W44,3.5
2024-W45,4.7
2024-W46,6.0
2024-W47,7.1
2024-W48,7.6
2024-W49,6.5
2024-W50,5.3
2024-W51,4.5
2024-W52,3.9
2025-W01,8.0
2025-W02,8.3
2025-W03,7.5
2025-W04,6.6
2025-W05,5.7
2025-W06,5.0
2025-W07,4.3
2025-W08,3.7
2025-W09,3.1
2025-W10,2.8
2025-W11,2.5
2025-W12,2.3
2025-W13,2.1
2025-W14,2.0
2025-W15,1.8
